Substance,a1,a2,a3,a4
H2,3.4958,-1.006E-04,2.419E-7,0
O2,3.0673,1.6371E-03,-5.118E-7,0
Cl2,3.8122,1.2200E-03,-4.856E-7,0
Br2,4.2385,4.901E-4,-1.780E-7,0
N2,3.24.54,7.108E-4,-4.06E-8,0
CO,3.1916,9.241E-4,-1.410E-7,0
HCl,3.3876,2.176E-4,1.860E-7,0
HBr,3.3100,4.805E-4,7.96E-8,0
NO,3.5326,-1.86E-4,1.281E-6,-5.47E-10
CO2,3.205,5.083E-3,-1.713E-6,0
H2O,3.633,1.195E-3,1.34E-7,0
NH3,3.114,3.969E-3,-3.66E-7,0
H2S,3.213,2.870E-3,-6.09E-7,0
SO2,3.093,6.967E-3,-4.581E-6,1.035E-9
CH4,1.701,9.080E-3,-2.164E-6,0
C2H6,1.131,1.9224E-2,-5.560E-6,0
C2H4,1.424,1.4393E-2,-4.391E-6,0
C2H2,3.689,6.352E-3,-1.957E-6,0
C3H8,1.213,2.8782E-2,-8.823E-6,0
C3H6,1.637,2.2703E-2,-6.914E-6,0
C3H4,3.187,1.5595E-2,-4.759E-6,0
C6H6,-0.206,3.9061E-2,-1.330E-5,0
C6H5CH3,0.290,4.7048E-2,-1.5714E-5,0
C(graphite),0.637,7.049E-3,-5.199E-6,1.384E-9
